gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,customerID - Copy,Multiple lines,Streaming Tv,Tenure Band,Customer Type,Risk Type
Male,0,No,No,1,No,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,25.15,0,Yes,2672-Dzuoy,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,No,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),35.25,0,Yes,1740-Csdjp,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,74.25,0,Yes,3707-Gnwhm,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,No,Electronic Check,70.1,0,No,2262-Slnvk,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,No,Mailed Check,44.4,0,Yes,0415-Mosgf,No,No,0-6 Months,New Customer,High Risk
Male,1,Yes,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,86.05,0,Yes,4826-Xtsoh,Yes,Yes,0-6 Months,New Customer,High Risk
Female,1,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.25,0,Yes,0679-Idstg,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,No,Dsl,No,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),25.25,0,No,2209-Xadxf,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,79.55,0,Yes,1761-Aezzr,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,45.8,0,No,5133-Powua,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,53.5,0,Yes,2386-Lahrk,No,Yes,0-6 Months,New Customer,High Risk
Female,1,No,No,1,No,Dsl,No,No,No,No,No,Month-To-Month,No,Mailed Check,25.05,0,Yes,9907-Swkkf,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,No,Electronic Check,78.45,0,Yes,9885-Csmwe,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,44.15,0,Yes,7663-Rgwbc,No,No,0-6 Months,New Customer,High Risk
Male,1,Yes,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,95.1,0,Yes,5178-Lmxop,Yes,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.55,0,Yes,7274-Rtapz,No,Yes,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,75.35,0,Yes,4988-Iqigl,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,70.8,0,Yes,0968-Gsikn,No,No,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,71.65,0,Yes,8644-Xlfbw,No,No,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,No,Electronic Check,44.55,0,No,2903-Yytbw,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,No,Electronic Check,79.55,0,Yes,9019-Qvlzd,No,Yes,0-6 Months,New Customer,High Risk
Female,0,Yes,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,69.4,0,Yes,7908-Qcbca,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,70.1,0,Yes,4702-Ioqdc,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),44.15,0,No,6145-Nnpno,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,85.05,0,Yes,1069-Xaiem,Yes,No,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,70,0,Yes,1853-Udxbw,No,No,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,94,0,Yes,9300-Agznl,Yes,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),44.55,0,No,8180-Akmjv,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,No,Mailed Check,69.4,0,Yes,5884-Gcymi,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,89.25,0,No,7577-Swifr,No,Yes,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.65,0,Yes,8062-Ybdoe,No,No,0-6 Months,New Customer,High Risk
Female,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,80.05,0,Yes,8821-Xnhvz,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,45.6,0,Yes,2082-Ceflt,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,84.65,0,Yes,7503-Zguzj,Yes,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,45.4,0,No,2275-Rbyqs,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,79.6,0,Yes,5393-Rxqsz,No,No,0-6 Months,New Customer,High Risk
Male,1,Yes,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,70.3,0,Yes,1363-Txlsl,No,No,0-6 Months,New Customer,High Risk
Male,0,No,Yes,1,No,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,24.7,0,No,2862-Pfnik,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,No,Mailed Check,70.75,0,Yes,0519-Xuzju,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,80.5,0,Yes,2867-Uimss,No,No,0-6 Months,New Customer,High Risk
Male,0,No,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,93.3,0,Yes,6521-Yytyi,Yes,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.65,0,Yes,7254-Iqwoz,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,70.85,0,Yes,1031-Iideo,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,80.8,0,Yes,6457-Usber,No,No,0-6 Months,New Customer,High Risk
Male,0,Yes,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.15,0,Yes,1447-Giqmr,No,No,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,45.85,0,No,6127-Iyjoz,No,No,0-6 Months,New Customer,High Risk
Female,1,Yes,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,74.45,0,Yes,0723-Drclg,Yes,No,0-6 Months,New Customer,High Risk
Female,0,Yes,No,1,No,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,24.8,0,Yes,1024-Guald,No,No,0-6 Months,New Customer,High Risk
Female,0,Yes,No,1,No,Dsl,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,29.85,0,No,7590-Vhveg,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,No,Dsl,No,Yes,No,No,No,Month-To-Month,No,Bank Transfer (Automatic),29.95,0,Yes,6317-Ypkdh,No,No,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,No,Credit Card (Automatic),74.6,0,No,1866-Obpnr,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,50.75,0,Yes,4317-Vteoa,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,74.35,0,No,9840-Efjqb,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,85,0,No,1628-Bizyp,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),74.3,0,Yes,9894-Ezewg,No,No,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,No,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,30.2,30.2,Yes,8665-Utdhz,No,No,0-6 Months,New Customer,High Risk
Male,1,Yes,No,1,No,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,40.2,40.2,Yes,9514-Jdski,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,No,Mailed Check,50.65,50.65,Yes,6905-Niqin,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-To-Month,Yes,Credit Card (Automatic),90.85,90.85,Yes,5167-Zffmm,Yes,No,0-6 Months,New Customer,High Risk
Female,0,Yes,Yes,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,74.7,74.7,Yes,9399-Aplbt,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,50.8,50.8,Yes,2207-Nhrjk,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,49.5,49.5,No,4065-Jjava,No,No,0-6 Months,New Customer,High Risk
Male,0,No,Yes,1,No,Dsl,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,31.35,31.35,Yes,5868-Czjdr,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,75.8,75.8,Yes,7595-Euivn,No,No,0-6 Months,New Customer,High Risk
Male,0,No,Yes,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,75.35,75.35,Yes,5054-Iexzt,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,80.2,80.2,Yes,0137-Ocgab,Yes,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,50.15,50.15,No,1845-Zllig,No,No,0-6 Months,New Customer,High Risk
Male,0,No,Yes,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,49.9,49.9,No,1406-Puqvy,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,79.15,79.15,No,2254-Dlxri,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,50.55,50.55,Yes,6689-Kxgbo,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-To-Month,Yes,Credit Card (Automatic),100.25,100.25,Yes,3178-Feszo,Yes,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,84.3,84.3,Yes,2013-Sgdxk,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,74.35,74.35,Yes,4274-Owwyo,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,74.7,74.7,Yes,3765-Jxvky,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,54.3,54.3,No,6907-Flber,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,48.6,48.6,No,9752-Znqut,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,75.7,75.7,Yes,5196-Sgoak,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,86,86,Yes,4844-Jjwuy,No,No,0-6 Months,New Customer,High Risk
Female,1,Yes,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,90.6,90.6,Yes,8775-Lhdjh,Yes,Yes,0-6 Months,New Customer,High Risk
Female,1,Yes,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Mailed Check,76.4,76.4,Yes,3296-Silra,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,73,73,Yes,1977-Stdki,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,Yes,No,No,No,Month-To-Month,Yes,Electronic Check,79.15,79.15,Yes,7493-Tpuwz,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,Yes,No,No,No,Month-To-Month,No,Electronic Check,49.95,49.95,No,1471-Giqkq,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,No,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,35.45,35.45,Yes,3091-Fyhki,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,79.9,79.9,Yes,1285-Okipp,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,55,55,Yes,3583-Ekapl,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,85,85,Yes,9282-Izgqk,Yes,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,89.55,89.55,Yes,0970-Etwge,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,89.9,89.9,Yes,3027-Ztdho,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,86.6,86.6,Yes,8603-Ijwdn,Yes,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,No,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,35.55,35.55,Yes,0841-Nulxi,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,62.8,62.8,No,6260-Onulr,No,Yes,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,81.05,81.05,No,2018-Qkygt,No,No,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,93.55,93.55,Yes,9497-Qcmms,Yes,Yes,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,91.3,91.3,Yes,3988-Rqixo,No,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,55.45,55.45,No,9822-Oaovb,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,88.35,88.35,Yes,3722-Wpxtk,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,No,Dsl,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,35.9,35.9,Yes,7854-Foksf,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,54.75,54.75,Yes,4074-Sjffa,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,94.6,94.6,Yes,4910-Gmjot,Yes,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,55.55,55.55,No,4727-Mcyzg,No,No,0-6 Months,New Customer,High Risk
Male,0,Yes,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.75,90.75,Yes,2725-Kxxwt,No,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,95.65,95.65,Yes,6857-Vwjdt,Yes,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,81.95,81.95,Yes,2004-Ocqxk,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,79.7,79.7,Yes,0495-Rvcbf,No,No,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,89.15,89.15,Yes,3801-Hmynl,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,55.25,55.25,No,5501-Tvmgm,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,93.85,93.85,Yes,8149-Rsoun,Yes,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,85.45,85.45,Yes,9124-Lhcjq,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,79.6,79.6,Yes,7594-Rqhxr,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Credit Card (Automatic),80.15,80.15,Yes,6086-Esgrl,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,80.85,80.85,Yes,5275-Sqeiz,No,No,0-6 Months,New Customer,High Risk
Female,0,No,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,78.65,78.65,Yes,8945-Grkhx,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,90.6,90.6,Yes,5797-Apwzc,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,89.1,89.1,Yes,1455-Esiqh,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.85,90.85,Yes,9725-Scpzg,No,Yes,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,90.1,90.1,No,1941-Hosam,No,Yes,0-6 Months,New Customer,High Risk
Female,0,No,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,89.35,89.35,No,4273-Mbhya,No,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,81.1,81.1,Yes,4614-Nuvzd,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,55.7,55.7,Yes,6629-Cztth,No,No,0-6 Months,New Customer,High Risk
Female,0,Yes,No,1,No,Dsl,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,35,35,No,3841-Conlj,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,89.3,89.3,Yes,1415-Yfwlt,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,No,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Mailed Check,45.3,45.3,Yes,7568-Podml,No,Yes,0-6 Months,New Customer,High Risk
